num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,T=300k
2,3,0,0,3,2,0,0,8,1.9409763
2,2,1,0,6,0,0,0,9,1.8451877
2,0,0,1,2,0,0,1,7,1.4478598
0,2,0,1,1,1,1,0,9,1.5638744
2,3,0,0,3,2,0,0,8,1.9689497
2,1,0,1,1,0,2,0,8,1.5259876
4,1,1,0,4,1,0,0,9,1.8363217
2,2,0,0,2,2,1,0,6,1.5924278
1,4,0,0,4,1,0,0,9,1.8098098
3,0,0,1,3,2,0,0,8,1.4813296
5,0,0,0,3,2,1,0,5,1.7823982
0,4,0,0,1,1,0,1,8,1.6798604
3,0,0,1,1,2,1,0,7,1.6663786
0,2,1,0,0,4,0,0,7,1.1778679
4,0,0,0,3,0,1,1,4,1.2182175
2,3,0,0,2,1,1,0,8,2.0374875
0,2,0,1,1,0,1,0,11,1.3054689
3,1,1,0,3,0,0,1,8,2.0637457
1,1,0,1,2,0,2,0,7,1.6470858
1,1,1,0,2,0,0,1,6,1.5658212
1,1,0,1,2,1,0,1,7,1.3993225
2,0,0,2,1,2,0,0,10,1.395792
0,2,1,0,1,0,1,1,7,1.302186
1,0,2,0,1,0,1,1,7,1.5074595
2,2,1,0,3,0,1,0,9,1.7659205
0,1,0,1,0,1,1,1,6,1.1675925
1,2,0,0,2,0,0,1,5,1.4737979
1,2,1,0,3,2,0,0,8,1.7511221
2,0,1,0,1,2,0,1,5,1.1878469
3,1,0,0,1,1,1,1,5,1.4424305
2,3,0,0,4,0,1,0,8,1.8116547
2,0,0,1,1,3,0,0,8,1.2801813
3,0,1,0,2,0,1,1,6,1.4474007
4,1,0,0,2,2,1,0,6,1.7035642
3,2,0,0,3,1,1,0,7,1.6760776
2,0,0,0,0,0,0,2,2,0.91275913
0,1,0,2,2,0,0,0,13,1.2584505
3,0,0,1,2,2,0,0,9,1.4478927
2,2,1,0,2,2,0,0,9,1.9028469
2,1,1,0,2,1,0,1,7,1.6566844
1,1,1,0,1,2,0,1,6,1.7895194
1,1,2,0,2,0,0,1,9,1.8907702
3,0,0,0,1,0,1,2,3,1.2372721
1,2,1,0,1,0,2,0,8,1.498504
1,3,0,0,4,0,0,1,7,1.6581761
5,1,0,0,4,2,0,0,7,1.9566225
0,2,0,1,3,1,0,0,10,1.3565391
2,2,0,0,1,2,0,1,6,1.3566262
2,1,1,0,1,2,1,0,7,1.6431208
3,2,0,0,3,1,1,0,7,2.1186814
2,1,0,0,0,0,2,1,4,1.2090489
1,1,1,1,3,1,0,0,10,1.718456
2,2,0,1,5,0,0,0,10,1.7697748
0,1,0,1,0,0,1,1,8,1.0505466
4,2,0,0,7,0,0,0,8,1.8153446
3,2,0,0,2,3,0,0,7,1.9363955
0,2,0,1,1,1,0,1,8,1.3028914
