1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
1061,1.1406333,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1062,1.2334464,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1063,1.2899299,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
1064,1.1203805,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1065,1.0985864,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
1066,1.1339182,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
1067,1.0841774,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
1068,1.2026713,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
1069,1.2982966,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
1070,1.1731265,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
1071,1.1250815,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1
1072,1.4370624,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
1073,1.2063372,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
1074,1.4434085,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
1075,1.3482348,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
1076,1.1617101,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1077,1.127332,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1078,1.128444,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1079,1.1461214,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1080,1.092856,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1081,1.0572097,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
1082,1.2930301,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
1083,1.1544573,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1084,1.1460726,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1085,1.1139741,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
1086,1.0874808,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1087,1.1628629,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1088,1.1380913,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
1089,1.3978146,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
1090,1.3985536,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1
1091,1.1319978,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1092,1.1116335,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1093,1.1276244,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
1094,1.0736747,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
1095,1.0339099,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1096,1.04084,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
1097,1.0635754,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
1098,1.0719992,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1
1099,1.1577034,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
1100,1.1970187,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
1101,1.1522191,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
1102,1.1447475,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
1103,1.2327545,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
1104,1.1653419,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
1105,1.4304237,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
1106,1.4081554,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1107,1.1705722,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1108,1.0652533,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1109,1.074139,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
1110,1.1553943,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
1111,1.1812485,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
1112,1.3631705,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
1113,1.3336542,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1
1114,1.1371903,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
1115,1.2047521,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
1116,1.1602294,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
1117,1.1275454,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
1118,1.1589421,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0
1119,1.1800277,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
1120,1.3696709,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
1121,1.4161997,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
1122,1.267112,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
1123,1.1271441,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1124,1.413757,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
1125,1.284616,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1
1126,1.2304071,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
1127,1.1938932,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1
1128,1.3391541,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0
1129,1.3632793,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1
1130,1.3888038,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
1131,1.3726065,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
1132,1.3505784,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
1133,1.3334343,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
1134,1.4582428,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
1135,1.3207477,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1
1136,1.4136863,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
1137,1.3723228,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
1138,1.0771745,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1139,1.0770675,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1140,1.0791841,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1141,1.0953004,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1142,1.1385937,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1143,1.0750854,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1144,1.2637659,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
1145,1.1493024,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1146,1.1753863,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
1147,1.1923183,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1148,1.1810961,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1149,0.833089528,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1150,1.2045916,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
1151,1.2983437,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
1152,1.3788193,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
1153,1.0168389,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1154,1.1105646,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1155,1.0982597,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1156,1.0885201,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
1157,1.1897987,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1158,1.1552104,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1159,1.1527865,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
1160,1.306514,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
1161,1.1325281,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1162,1.1587344,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
1163,1.1933932,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
1164,1.2546155,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1
1165,1.3560536,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
1166,1.2765231,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1
1167,1.4296975,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
1168,1.3709186,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
1169,1.2044392,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1170,1.1721017,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1171,1.1085101,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
1172,1.100414,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1173,1.0855708,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
1174,1.1644044,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
1175,1.1989692,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1
1176,1.1235031,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1177,1.1317155,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
1178,1.1333214,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
1179,1.1320766,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1
1180,1.2328303,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
1181,1.1747748,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1
1182,1.2039573,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0
1183,1.3235723,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
1184,1.1202716,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1185,1.1976739,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
1186,1.1758187,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
1187,1.1583719,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1
1188,1.1959037,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
1189,1.1701608,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1
1190,1.159238,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0
1191,1.1282065,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1
1192,1.213621,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
1193,1.3001554,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1
1194,1.1501929,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0
1195,1.1559126,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1
1196,1.430106,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0
1197,1.1701146,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1
1198,1.4084836,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
1199,1.3857596,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
1200,1.1154255,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
1201,1.2259988,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1202,1.3049237,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
1203,1.2758793,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1204,1.3086379,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
1205,1.3464628,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
1206,1.4024718,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1
1207,1.1240684,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1208,1.1644427,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
1209,1.1575899,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
1210,1.2080017,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
1211,1.162667,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
1212,1.1287638,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1
1213,1.3749357,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1214,1.3376867,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1
1215,1.1407427,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
1216,1.1806923,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
1217,1.1446848,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
1218,1.2710665,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
1219,1.2283343,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
1220,1.1595693,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1
1221,1.1574115,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
1222,1.2137882,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1
1223,1.2094698,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
1224,1.2958372,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
1225,1.1887804,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0
1226,1.2101688,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
1227,1.2202063,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
1228,1.1533717,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1
1229,1.4025087,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
1230,1.462256,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
1231,1.3767926,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
1232,1.4202669,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
1233,1.3817109,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
1234,1.2470062,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
1235,1.1950525,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1
1236,1.2813144,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0
1237,1.2615991,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1
1238,1.4171571,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
1239,1.2895894,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
1240,1.3218002,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
1241,1.2220716,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
1242,1.4167839,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0
1243,1.290257,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1
1244,1.3742902,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0
1245,1.368311,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1
1246,1.5391166,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
1247,1.4681922,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
1248,1.6170202,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
1249,1.4429291,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1
1250,1.4861745,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0
1251,1.3576061,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1
1252,1.5059793,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0
1253,1.4405402,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1
1254,1.5794899,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
1255,1.5264947,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1
1256,1.5114447,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0
1257,1.5363954,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1
1258,1.5134329,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
1259,1.4659257,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
1260,1.5637009,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
1261,1.476809,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
1262,1.1047043,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1263,1.0875313,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1264,1.098672,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1265,1.1076258,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1266,1.0383602,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1267,1.0611356,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1268,1.318969,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
1269,1.1387608,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1270,1.1849248,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1271,1.0687751,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1272,1.0950596,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
1273,1.1914043,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1274,1.1502374,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
1275,1.268171,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
1276,1.3345838,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
1277,1.1310458,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1278,1.215753,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1279,1.2637,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
1280,1.0998178,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1281,1.0902741,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
1282,1.135532,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
1283,1.0732374,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
1284,1.1583797,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
1285,1.2173231,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
1286,1.179736,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
1287,1.1205158,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1
1288,1.2978213,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0
1289,1.1692101,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1
1290,1.3867797,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
1291,1.3918369,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
1292,1.2025657,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1293,1.159116,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1294,1.0963877,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
1295,1.1265897,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1296,1.0977938,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
1297,1.2278264,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
1298,1.304733,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1
1299,1.084306,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1300,1.1154954,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
1301,1.0440629,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
1302,1.0775906,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
1303,1.211584,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
1304,1.141234,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1
1305,1.1499418,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
1306,1.1922321,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1
1307,1.1483265,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
1308,1.169583,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
1309,0.96481997,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
1310,1.089645,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
1311,1.2144077,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
1312,1.1395082,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1
1313,1.1467904,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0
1314,1.0989441,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1
1315,1.2894334,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0
1316,1.1668925,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1
1317,1.1793014,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0
1318,1.1185656,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1
1319,1.4104091,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
1320,1.2009064,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1
1321,1.3814799,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0
1322,1.3153858,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
1323,1.0659732,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1324,1.0180073,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1325,1.0205191,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
1326,1.0306653,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1327,1.0159817,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
1328,1.028059,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
1329,1.2581774,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
1330,1.0982766,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1331,1.1100612,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
1332,1.0467726,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
1333,1.086315,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
1334,1.1727322,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
1335,1.1134442,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
1336,1.2814977,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
1337,1.3000891,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
1338,0.9908396,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
1339,1.0618224,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
1340,1.0611166,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
1341,1.0405638,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
1342,0.96579069,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
1343,0.94293457,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1344,1.0163317,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
1345,0.98905736,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1
1346,1.0710025,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
1347,1.1367717,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
1348,1.0562632,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
1349,1.0243685,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1
1350,1.1103017,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
1351,1.0381863,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
1352,1.2875861,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0
1353,1.2919582,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1
1354,1.141894,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
1355,1.1322997,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
1356,1.0886159,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
1357,1.190096,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
1358,1.1320233,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1
1359,1.2120769,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
1360,1.215881,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1
1361,1.0728106,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
1362,1.1321465,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
1363,0.99687093,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
1364,1.0392208,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1
1365,1.1071818,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0
1366,1.0473626,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1
1367,1.0856757,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0
1368,1.2357616,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1
1369,1.1076686,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
1370,1.1171888,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1
1371,1.3035734,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0
1372,1.2400805,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1
1373,1.075892,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0
1374,1.0391271,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1
1375,1.0455502,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0
1376,1.0094913,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1
1377,1.3393033,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
1378,1.3346518,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1
1379,1.1647185,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
1380,1.1852568,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1
1381,1.3583236,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0
1382,1.2332451,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1
1383,1.3948488,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
1384,1.3285733,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
1385,1.1484817,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1386,1.1715692,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1387,1.0637957,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
1388,1.1489714,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
1389,1.1111898,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
1390,1.1029555,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
1391,1.1405513,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
1392,1.1500438,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
1393,1.1814096,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
1394,1.1286336,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
1395,1.1014766,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
1396,1.1619427,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
1397,1.1236465,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1
1398,1.2650886,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
1399,1.3316902,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1
1400,1.1955098,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
1401,1.2028183,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
1402,1.1877133,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1
1403,1.1546143,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0
1404,1.130674,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
1405,1.1068441,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
1406,1.0647383,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1
1407,1.1959714,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
1408,1.1404654,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
1409,1.1245933,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
1410,1.0907944,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1
1411,1.3304238,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
1412,1.1717372,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
1413,1.3581134,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
1414,1.2862408,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1
1415,1.1116272,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
1416,1.1299284,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
1417,1.0617853,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1
