1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
73,1.2776912,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
74,1.2635523,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
75,1.1834273,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
76,1.1985416,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
77,1.0580245,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
78,1.1352111,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
79,1.0783063,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
80,1.4314282,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
81,1.4604319,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
82,1.0628157,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
83,1.0941235,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
84,1.0662296,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
85,1.1097125,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
86,1.0218129,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
87,0.98682582,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
88,1.028334,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
89,1.0277681,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
90,1.0732859,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
91,1.136669,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
92,1.074343,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
93,1.049193,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
94,1.1385502,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
95,1.1074173,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
96,1.3683076,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
97,1.3307121,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
98,1.0342387,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
99,1.0959853,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
100,1.0777284,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
101,1.1537122,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
102,1.1226823,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
103,1.0930098,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
104,1.1655368,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
105,1.3036441,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
106,1.1082499,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
107,1.1513422,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
108,1.091867,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
109,1.0887076,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
110,1.1655221,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
111,1.0741644,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
112,1.1296388,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
113,1.2893734,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
114,1.2294126,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
115,1.2303877,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
116,1.4190148,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
117,1.2960018,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
118,1.1054688,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
119,1.0997859,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
120,1.052923,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
121,1.0601586,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
122,1.3794199,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
123,1.4714891,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
