1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
84,1.7066211,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
85,1.5966108,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0
86,1.9435917,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1
87,1.8512646,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
88,1.7770706,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1
89,1.4882069,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1
90,1.0410615,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
91,1.7062204,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1
92,1.3490787,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1
93,1.6376953,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
94,1.661146,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0
95,1.8056395,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
96,1.8403527,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1
97,1.5068918,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
98,1.8840594,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1
99,1.9576862,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1
100,1.3333716,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1
101,1.7916349,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1
102,1.8912452,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
103,1.4740672,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
104,1.6493903,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1
105,1.7936021,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1
106,1.7647549,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1
107,2.2062948,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1
108,1.5578465,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0
109,1.5287163,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1
110,1.2980822,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
111,1.3001431,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
112,1.6588423,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
113,1.7662846,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
114,1.4000531,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1
115,1.6594648,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
116,1.4686731,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
117,1.2561671,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
118,1.1689847,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
119,1.6605264,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
120,1.5871854,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1
121,1.7320831,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0
122,1.4080663,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
123,1.88859,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1
124,1.5852873,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1
125,1.8383443,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0
126,1.5143379,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1
127,1.8241403,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1
128,1.3118933,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
129,1.7765508,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
130,1.6770184,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0
131,1.5195879,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1
132,1.8874102,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1
133,1.9409763,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1
134,1.8451877,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0
135,1.4478598,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1
136,1.5638744,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1
137,1.9689497,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1
138,1.5259876,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1
139,1.8363217,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1
140,1.5924278,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0
141,1.8098098,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
142,1.4813296,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0
143,1.7823982,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
