score,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8
1.254948,0,0,0,0,2,0,3,3
0.71821553,0,0,0,0,2,1,0,0
0.89901775,0,0,0,0,2,1,0,1
0.87448299,0,0,0,0,2,1,0,2
1.1101447,0,0,0,0,2,1,0,3
0.8323915,0,0,0,0,2,1,1,0
0.90101957,0,0,0,0,2,1,1,1
0.8649649,0,0,0,0,2,1,1,2
1.0960655,0,0,0,0,2,1,1,3
0.83096009,0,0,0,0,2,1,2,0
0.91657841,0,0,0,0,2,1,2,1
0.92772299,0,0,0,0,2,1,2,2
1.1177742,0,0,0,0,2,1,2,3
1.0501294,0,0,0,0,2,1,3,0
1.0407113,0,0,0,0,2,1,3,1
1.0176795,0,0,0,0,2,1,3,2
1.1753507,0,0,0,0,2,1,3,3
0.67382884,0,0,0,0,2,2,0,0
0.88934636,0,0,0,0,2,2,0,1
0.78846508,0,0,0,0,2,2,0,2
1.0967901,0,0,0,0,2,2,0,3
0.8339451,0,0,0,0,2,2,1,0
0.889947,0,0,0,0,2,2,1,1
0.93157548,0,0,0,0,2,2,1,2
1.1536314,0,0,0,0,2,2,1,3
0.71150929,0,0,0,0,2,2,2,0
0.90287673,0,0,0,0,2,2,2,1
0.70288867,0,0,0,0,2,2,2,2
1.0024351,0,0,0,0,2,2,2,3
0.99310762,0,0,0,0,2,2,3,0
1.0092646,0,0,0,0,2,2,3,1
0.94851106,0,0,0,0,2,2,3,2
1.1212548,0,0,0,0,2,2,3,3
0.90650994,0,0,0,0,2,3,0,0
1.1002285,0,0,0,0,2,3,0,1
1.0684366,0,0,0,0,2,3,0,2
1.3122444,0,0,0,0,2,3,0,3
0.88009697,0,0,0,0,2,3,1,0
1.0084599,0,0,0,0,2,3,1,1
1.0207304,0,0,0,0,2,3,1,2
1.1660753,0,0,0,0,2,3,1,3
0.8681286,0,0,0,0,2,3,2,0
1.0413896,0,0,0,0,2,3,2,1
0.94893938,0,0,0,0,2,3,2,2
1.1532257,0,0,0,0,2,3,2,3
1.0485494,0,0,0,0,2,3,3,0
0.9679805,0,0,0,0,2,3,3,1
0.92187351,0,0,0,0,2,3,3,2
1.0627913,0,0,0,0,2,3,3,3
0.78318864,0,0,0,0,3,0,0,0
0.91201979,0,0,0,0,3,0,0,1
0.91218686,0,0,0,0,3,0,0,2
0.99962628,0,0,0,0,3,0,0,3
0.97389221,0,0,0,0,3,0,1,0
1.0963457,0,0,0,0,3,0,1,1
1.1116347,0,0,0,0,3,0,1,2
1.2718362,0,0,0,0,3,0,1,3
0.97625154,0,0,0,0,3,0,2,0
1.1091907,0,0,0,0,3,0,2,1
1.0958625,0,0,0,0,3,0,2,2
1.2709429,0,0,0,0,3,0,2,3
1.1549625,0,0,0,0,3,0,3,0
1.3093948,0,0,0,0,3,0,3,1
1.3091793,0,0,0,0,3,0,3,2
1.5424781,0,0,0,0,3,0,3,3
0.90530533,0,0,0,0,3,1,0,0
1.0481837,0,0,0,0,3,1,0,1
1.1090134,0,0,0,0,3,1,0,2
1.2689129,0,0,0,0,3,1,0,3
